table_id,page_title,section_title,table_caption,headers,sample_data
table-0001-249,Auburn Tigers swimming and diving,Summer Olympic Games Beijing 2008,Summer Olympic Games Beijing 2008,"[""Athlete"", ""Nation"", ""Total"", ""Gold"", ""Silver"", ""Bronze"", ""Events""]","[[""[Fr\u00e9d\u00e9rick_Bousquet|Fr\u00e9d\u00e9rick Bousquet]"", ""[France|FRA]"", ""1"", ""0"", ""1"", ""0"", ""Silver Medal in 400m Freestyle relay""], [""[C\u00e9sar_Cielo|C\u00e9sar Cielo Filho]"", ""[Brazil|BRA]"", ""2"", ""1"", ""0"", ""1"", ""Gold Medal in 50m Freestyle and Bronze Medal for 100m Freestyle""], [""[Kirsty_Coventry|Kirsty Coventry]"", ""[Zimbabwe|ZIM]"", ""4"", ""1"", ""3"", ""0"", ""Gold Medal in 200m backstroke, Silver Medal in 100m basckstroke, 200m Medley and 400m Medley.""]]"
table-0001-400,Bisphenol A,Low-dose exposure in animals,Low-dose exposure in animals,"[""Dose (\u00b5g/kg/day)"", ""[Environmental_Working_Group|Environmental Working Group]"", ""Study Year""]","[[""0.025"", ""\""Permanent changes to genital tract\"""", ""2005""], [""0.025"", ""\""Changes in breast tissue that predispose cells to hormones and carcinogens\"""", ""2005""], [""1"", ""long-term adverse reproductive and carcinogenic effects"", ""2009""]]"
table-0001-459,Charlotte Bobcats all-time roster,Players,Players,"[""*"", ""*"", ""[2004_NBA_Expansion_Draft|2004 Expansion Draft]"", ""[2004_NBA_Expansion_Draft|2004 Expansion Draft]"", ""[2004_NBA_Expansion_Draft|2004 Expansion Draft]"", ""[2004_NBA_Expansion_Draft|2004 Expansion Draft]"", ""[2004_NBA_Expansion_Draft|2004 Expansion Draft]""]","[[""^"", ""^"", ""Denotes players who are currently on the Bobcats roster"", ""Denotes players who are currently on the Bobcats roster"", ""Denotes players who are currently on the Bobcats roster"", ""Denotes players who are currently on the Bobcats roster"", ""Denotes players who are currently on the Bobcats roster""], [""No"", ""No"", ""Jersey number"", ""Jersey number"", ""Pos"", ""Position"", ""Position""], [""G"", ""[Basketball_positions|Guard]"", ""[Basketball_positions|Guard]"", ""F"", ""[Basketball_positions|Forward]"", ""C"", ""[Basketball_positions|Center]""]]"
table-0002-320,Accession of Albania to the European Union,Chronology of the relations with the European Union,Chronology of the relations with the European Union,"[""Date"", ""Event""]","[[""1992"", ""Trade and Co-operation Agreement between the EU and Albania. Albania becomes eligible for funding under the EU Phare programme.""], [""1997"", ""Regional Approach. The EU Council of Ministers establishes political and economic conditionality for the development of bilateral relations.""], [""1999"", ""The EU proposes the new Stabilisation and Association Process (SAP) for five countries of South-Eastern Europe, including Albania.""]]"
table-0003-319,List of Just Shoot Me! episodes,Season 3: 1998-1999,Season 3: 1998-1999,"[""#"", ""Title"", ""Original airdate""]","[[""32"", ""\""What the Teddy Bear Saw\"""", ""September22,1998""], [""Jack enlists Finch to stop off at his house and check up on his new nanny."", ""Jack enlists Finch to stop off at his house and check up on his new nanny."", ""Jack enlists Finch to stop off at his house and check up on his new nanny.""], [""33"", ""\""Steamed\"""", ""September29,1998""]]"
table-0003-903,English orthography,Combinations of vowel letters,Combinations of vowel letters,"[""Spelling"", ""Spelling"", ""IPA"", ""Examples of major value"", ""IPA"", ""Examples of minor value"", ""<span> clarification needed</span> ""]","[[""a"", ""before multiple consonants final vowel in word followed by 2 or more unstressed syllables next syllable contains /\u0268/"", ""/\u00e6/"", ""hatchet, banner, marry acrobat, cat national, camera, reality arid, granite, palace"", ""/e\u026a/"", ""ache, bass, chamber nationhood"", ""/i/ karaoke /\u0251\u02d0/ father /\u0252/ yacht""], [""a"", ""before -nge, -ste before single consonant before cons + (-le or r+vowel) before heterosyllabic vowel"", ""/e\u026a/"", ""arrange, waste grace, famous, violate table, hatred, April chaos, aorta"", ""/\u025b/ /\u00e6/ /\u0268/"", ""many, any manor, have chocolate, orange"", ""/\u0251\u02d0/ gala, sonata""], [""a"", ""before final r or r + cons. (and in derived terms)"", ""/\u0251\u02d0/"", ""bar, cart barred, marring"", """", """", ""/\u025b\u0259/ scarce""]]"
table-0004-229,John Deery,Filmography,Filmography,"[""Year(s)"", ""Title"", ""Role(s)"", ""Description""]","[[""2003"", ""[Conspiracy_of_Silence_(film)|Conspiracy of Silence]"", ""Director"", ""Theatrical film""], [""2004"", ""[Fat_Friends|Fat Friends]"", ""Director"", ""2 episodes of television series: Eat Your Heart Out Enough to go Around""], [""2005"", ""The Brief"", ""Director"", ""1 episode of television series Lack of Affect""]]"
table-0005-921,Fast Cars and Superstars: The Gillette Young Guns Celebrity Race,Episode 1,Episode 1,"["""", ""Driver"", ""Lap 1"", ""Lap 2"", ""Lap 3"", ""Total Time"", ""Result""]","[[""1"", ""[Laird_Hamilton|Laird Hamilton]"", ""148.60mph"", ""149.09mph"", ""148.27mph"", ""1:48:98"", ""Advanced to next round""], [""2"", ""[John_Elway|John Elway]"", ""146.02mph"", ""146.26mph"", ""148.64mph"", ""1:50:23"", ""Advanced to next round""], [""3"", ""[Serena_Williams|Serena Williams]"", ""123.65mph"", ""129.16mph"", ""136.05mph"", ""2:05:17"", ""Eliminated""]]"
table-0005-922,Fast Cars and Superstars: The Gillette Young Guns Celebrity Race,Episode 2,Episode 2,"["""", ""Driver"", ""Lap 1"", ""Lap 2"", ""Lap 3"", ""Total Time"", ""Result""]","[[""1"", ""[Tony_Hawk|Tony Hawk]"", ""151.43mph"", ""151.64mph"", ""151.43mph"", ""1:46:92"", ""Advanced to next round""], [""2"", ""[Ty_Murray|Ty Murray]"", ""150.96mph"", ""151.64mph"", ""151.43mph"", ""1:47:03"", ""Advanced to next round""], [""3"", ""[Krista_Allen|Krista Allen]"", ""147.26mph"", ""149.63mph"", ""149.29mph"", ""1:48:94"", ""Eliminated""]]"
table-0005-923,Fast Cars and Superstars: The Gillette Young Guns Celebrity Race,Episode 3,Episode 3,"["""", ""Driver"", ""Lap 1"", ""Lap 2"", ""Lap 3"", ""Total Time"", ""Result""]","[[""1"", ""[Jewel_(singer)|Jewel]"", ""144.85mph"", ""144.85mph"", ""145.08mph"", ""1:51:78"", ""Advanced to next round""], [""2"", ""[John_Cena|John Cena]"", ""144.46mph"", ""144.46mph"", ""144.89mph"", ""1:52:02"", ""Advanced to next round""], [""3"", ""[John_Salley|John Salley]"", ""125.73mph"", ""128.76mph"", ""133.33mph"", ""2:05:38"", ""Eliminated""]]"
